REPORT: Page Test, , Tester: Mitchell Ungar,Date: 2016-04-15
Subject:,Status:
Running Resources Page Test,SUCCESS
Clicking Resources Link,SUCCESS
Clicking Admin Forums,SUCCESS
Clicking FAQ Link,SUCCESS
Clicking Glossary Link,SUCCESS
Clicking Links Link,SUCCESS
Resource Test Successful
