REPORT: Page Test, , Tester: Mitchell Ungar,Date: 2016-04-15
Subject:,Status:
Running Benefit Details Test,SUCCESS
Clicking Benefits Link,SUCCESS
Detail Link 1,SUCCESS
Detail Link 2,SUCCESS
Detail Link 3,SUCCESS
Detail Link 4,SUCCESS
Detail Link 5,SUCCESS
Detail Link 6,SUCCESS
Detail Link 7,SUCCESS
Detail Link 8,SUCCESS
Detail Link 9,SUCCESS
Detail Link 10,SUCCESS
Detail Link 11,SUCCESS
Detail Link 12,SUCCESS
Detail Link 13,SUCCESS
Detail Link 14,SUCCESS
Benefit Details Test Complete
